Name,avg score,max score,avg time
AdaBoostRegressor,0.4652538805527706,0.4652538805527706,0.14947152137756348
BaggingRegressor,0.8132775704911085,0.8132775704911085,0.19105958938598633
ExtraTreesRegressor,0.8135257420667494,0.8135257420667494,0.28626060485839844
GradientBoostingRegressor,0.7584354707307362,0.7584354707307362,0.8237636089324951
RandomForestRegressor,0.8267049361283652,0.8267049361283652,0.4203670024871826
HistGradientBoostingRegressor,0.8202394162224662,0.8202394162224662,0.3554210662841797
LinearRegression,0.5839601439009978,0.5839601439009978,0.005005359649658203
Ridge,0.5839590592988713,0.5839590592988713,0.0035114288330078125
RidgeCV,0.5839590592986168,0.5839590592986168,0.0050046443939208984
SGDRegressor,-1.7787701321784448e+24,-1.7787701321784448e+24,0.3020200729370117
Lasso,0.2654287778342982,0.2654287778342982,0.0031578540802001953
KernelRidge,0.49094592177712393,0.49094592177712393,12.4222993850708
KNeighborsRegressor,0.7569866115701845,0.7569866115701845,0.022533893585205078
